"model","chunk_words","overlap_words","k","split","embedding_dimension","model_context_tokens","index_chunks","document_embedding_seconds","query_embedding_seconds","retrieval_ms_per_question","questions","recall_at_k","recall_ci_low","recall_ci_high","page_recall_at_k","mrr_at_k","context_truncation_risk"
"nomic-embed-text","200","0","5","all","768","2048","286","52.575087","1.063581","0.00585","50","0.8","0.6696262789551477","0.8875637005402612","0.94","0.6556666666666666","False"
"nomic-embed-text","200","0","10","all","768","2048","286","52.575087","1.063581","0.00585","50","0.84","0.7148551903823401","0.9166267863791231","0.98","0.6615000000000001","False"
"nomic-embed-text","200","50","1","all","768","2048","381","70.54064","1.063581","0.006473","50","0.68","0.5418944286372394","0.792419559060006","0.78","0.68","False"
"nomic-embed-text","200","50","3","all","768","2048","381","70.54064","1.063581","0.006473","50","0.88","0.7619492111337642","0.9438247628937535","0.92","0.7633333333333333","False"
"nomic-embed-text","200","50","5","all","768","2048","381","70.54064","1.063581","0.006473","50","0.92","0.8116149745493629","0.9684509967442093","0.96","0.7713333333333332","False"
"nomic-embed-text","200","50","10","all","768","2048","381","70.54064","1.063581","0.006473","50","0.94","0.8378265662912299","0.9793854036353695","1.0","0.7746666666666665","False"
"nomic-embed-text","200","100","1","all","768","2048","570","132.047761","1.063581","0.011241","50","0.62","0.4815019502239357","0.7413740415742278","0.74","0.62","False"
"nomic-embed-text","200","100","3","all","768","2048","570","132.047761","1.063581","0.011241","50","0.88","0.7619492111337642","0.9438247628937535","0.94","0.74","False"
"nomic-embed-text","200","100","5","all","768","2048","570","132.047761","1.063581","0.011241","50","0.92","0.8116149745493629","0.9684509967442093","0.94","0.75","False"
"nomic-embed-text","200","100","10","all","768","2048","570","132.047761","1.063581","0.011241","50","0.94","0.8378265662912299","0.9793854036353695","0.98","0.7533333333333333","False"
"nomic-embed-text","400","0","1","all","768","2048","143","57.615635","1.063581","0.003795","50","0.48","0.3479691239550571","0.6148848774119157","0.6","0.48","False"
"nomic-embed-text","400","0","3","all","768","2048","143","57.615635","1.063581","0.003795","50","0.76","0.6258705062480763","0.8570274759812779","0.84","0.6099999999999999","False"
"nomic-embed-text","400","0","5","all","768","2048","143","57.615635","1.063581","0.003795","50","0.8","0.6696262789551477","0.8875637005402612","0.92","0.6199999999999999","False"
"nomic-embed-text","400","0","10","all","768","2048","143","57.615635","1.063581","0.003795","50","0.9","0.7863950966521162","0.956524876008429","1.0","0.6338888888888888","False"
"nomic-embed-text","400","50","1","all","768","2048","163","65.928541","1.063581","0.00352","50","0.54","0.40398634328388083","0.6703056539821737","0.7","0.54","False"
"nomic-embed-text","400","50","3","all","768","2048","163","65.928541","1.063581","0.00352","50","0.8","0.6696262789551477","0.8875637005402612","0.88","0.66","False"
"nomic-embed-text","400","50","5","all","768","2048","163","65.928541","1.063581","0.00352","50","0.86","0.738135428014719","0.9304925473797714","0.92","0.6729999999999998","False"
"nomic-embed-text","400","50","10","all","768","2048","163","65.928541","1.063581","0.00352","50","0.96","0.8653966212204534","0.9889613473391734","1.0","0.6878809523809524","False"
"nomic-embed-text","400","100","1","all","768","2048","190","75.92476","1.063581","0.004068","50","0.56","0.4230578680014353","0.6883801278976466","0.72","0.56","False"
"nomic-embed-text","400","100","3","all","768","2048","190","75.92476","1.063581","0.004068","50","0.76","0.6258705062480763","0.8570274759812779","0.86","0.6533333333333334","False"
"nomic-embed-text","400","100","5","all","768","2048","190","75.92476","1.063581","0.004068","50","0.86","0.738135428014719","0.9304925473797714","0.94","0.6763333333333332","False"
"nomic-embed-text","400","100","10","all","768","2048","190","75.92476","1.063581","0.004068","50","0.94","0.8378265662912299","0.9793854036353695","1.0","0.6861349206349207","False"
"nomic-embed-text","800","0","1","all","768","2048","72","77.380136","1.063581","0.003123","50","0.44","0.3116198721023534","0.5769421319985648","0.52","0.44","False"
"nomic-embed-text","800","0","3","all","768","2048","72","77.380136","1.063581","0.003123","50","0.68","0.5418944286372394","0.792419559060006","0.74","0.5433333333333332","False"
"nomic-embed-text","800","0","5","all","768","2048","72","77.380136","1.063581","0.003123","50","0.82","0.6920368054529739","0.902299172675462","0.86","0.5753333333333334","False"
"nomic-embed-text","800","0","10","all","768","2048","72","77.380136","1.063581","0.003123","50","0.92","0.8116149745493629","0.9684509967442093","0.94","0.5899365079365078","False"
"nomic-embed-text","800","50","1","all","768","2048","77","68.411336","1.063581","0.00219","50","0.54","0.40398634328388083","0.6703056539821737","0.66","0.54","False"
"nomic-embed-text","800","50","3","all","768","2048","77","68.411336","1.063581","0.00219","50","0.8","0.6696262789551477","0.8875637005402612","0.92","0.66","False"
"nomic-embed-text","800","50","5","all","768","2048","77","68.411336","1.063581","0.00219","50","0.86","0.738135428014719","0.9304925473797714","0.96","0.674","False"
